,time
0,60 min
1,93 min
2,45 min
3,91 min
4,87 min
5,90 min
6,50 min
7,83 min
8,77 min
9,105 min
10,143 min
11,92 min
12,121 min
13,105 min
14,120 min
15,130 min
16,140 min
17,91 min
18,127 min
19,133 min
20,96 min
21,139 min
22,158 min
23,115 min
24,95 min
25,60 min
26,94 min
27,78 min
28,85 min
29,101 min
30,109 min
31,117 min
32,74 min
33,120 min
34,88 min
35,84 min
36,92 min
37,80 min
38,102 min
39,91 min
40,98 min
41,112 min
42,124 min
43,95 min
44,104 min
45,95 min
46,88 min
47,122 min
48,138 min
49,109 min
50,102 min
51,57 min
52,101 min
53,93 min
54,96 min
55,117 min
56,147 min
57,86 min
58,109 min
59,92 min
60,161 min
61,108 min
62,102 min
63,90 min
64,84 min
65,86 min
66,90 min
67,63 min
68,82 min
69,82 min
70,102 min
71,123 min
72,100 min
73,94 min
74,90 min
75,98 min
76,167 min
77,167 min
78,94 min
79,161 min
80,83 min
81,59 min
82,46 min
83,84 min
84,93 min
85,70 min
86,109 min
87,90 min
88,98 min
89,95 min
90,87 min
91,87 min
92,123 min
93,89 min
94,105 min
95,77 min
96,95 min
97,115 min
98,110 min
99,88 min
100,113 min
101,98 min
102,130 min
103,100 min
104,95 min
105,153 min
106,100 min
107,84 min
108,120 min
109,97 min
110,95 min
111,77 min
112,93 min
113,99 min
114,102 min
115,80 min
116,60 min
117,59 min
118,92 min
119,89 min
120,97 min
121,91 min
122,85 min
123,93 min
124,86 min
125,119 min
126,107 min
127,79 min
128,112 min
129,85 min
130,88 min
131,94 min
132,110 min
133,96 min
134,103 min
135,101 min
136,150 min
137,86 min
138,110 min
139,79 min
140,90 min
141,48 min
142,85 min
143,119 min
144,98 min
145,85 min
146,75 min
147,104 min
148,88 min
149,98 min
150,93 min
151,92 min
152,99 min
153,99 min
154,97 min
155,80 min
156,91 min
157,94 min
158,46 min
159,81 min
160,120 min
161,108 min
162,90 min
163,90 min
164,120 min
165,89 min
166,118 min
167,90 min
168,98 min
169,94 min
170,97 min
171,81 min
172,79 min
173,85 min
174,119 min
175,92 min
176,98 min
177,85 min
178,124 min
179,85 min
180,80 min
181,83 min
182,91 min
183,103 min
184,120 min
185,93 min
186,106 min
187,92 min
188,108 min
189,89 min
190,85 min
191,101 min
192,136 min
193,160 min
194,88 min
195,84 min
196,95 min
197,100 min
198,86 min
199,89 min
200,72 min
201,60 min
202,102 min
203,75 min
204,100 min
205,82 min
206,106 min
207,91 min
208,56 min
209,85 min
210,76 min
211,90 min
212,92 min
213,117 min
214,96 min
215,97 min
216,90 min
217,97 min
218,90 min
219,105 min
220,45 min
221,100 min
222,94 min
223,106 min
224,142 min
225,104 min
226,97 min
227,101 min
228,95 min
229,118 min
230,118 min
231,93 min
232,109 min
233,92 min
234,87 min
235,55 min
236,70 min
237,127 min
238,90 min
239,105 min
240,117 min
241,100 min
242,63 min
243,135 min
244,57 min
245,53 min
246,93 min
247,154 min
248,94 min
249,101 min
250,91 min
251,96 min
252,85 min
253,112 min
254,100 min
255,102 min
256,100 min
257,102 min
258,80 min
259,100 min
260,90 min
261,100 min
262,116 min
263,100 min
264,73 min
265,90 min
266,110 min
267,100 min
268,86 min
269,95 min
270,90 min
271,88 min
272,71 min
273,90 min
274,75 min
275,90 min
276,78 min
277,98 min
278,96 min
279,96 min
280,88 min
281,100 min
282,115 min
283,90 min
284,80 min
285,88 min
286,89 min
287,113 min
288,86 min
289,94 min
290,95 min
291,95 min
292,115 min
293,110 min
294,151 min
295,110 min
296,100 min
297,171 min
298,64 min
299,60 min
300,63 min
301,60 min
302,93 min
303,107 min
304,119 min
305,101 min
306,102 min
307,92 min
308,120 min
309,90 min
310,147 min
311,95 min
312,108 min
313,99 min
314,97 min
315,90 min
316,87 min
317,60 min
318,60 min
319,88 min
320,103 min
321,92 min
322,90 min
323,84 min
324,87 min
325,105 min
326,131 min
327,90 min
328,135 min
329,100 min
330,103 min
331,94 min
332,109 min
333,90 min
334,106 min
335,88 min
336,90 min
337,90 min
338,102 min
339,88 min
340,60 min
341,61 min
342,86 min
343,96 min
344,90 min
345,91 min
346,89 min
347,95 min
348,131 min
349,92 min
350,94 min
351,89 min
352,85 min
353,91 min
354,86 min
355,82 min
356,92 min
357,85 min
358,101 min
359,89 min
360,143 min
361,89 min
362,86 min
363,82 min
364,95 min
365,99 min
366,85 min
367,102 min
368,93 min
369,109 min
370,95 min
371,128 min
372,120 min
373,95 min
374,82 min
375,119 min
376,87 min
377,91 min
378,89 min
379,100 min
380,91 min
381,74 min
382,80 min
383,88 min
384,75 min
385,78 min
386,85 min
387,100 min
388,105 min
389,87 min
390,73 min
391,101 min
392,90 min
393,85 min
394,93 min
395,107 min
396,165 min
397,102 min
398,135 min
399,118 min
400,104 min
401,86 min
402,101 min
403,79 min
404,105 min
405,149 min
406,91 min
407,99 min
408,95 min
409,96 min
410,65 min
411,100 min
412,60 min
413,98 min
414,80 min
415,89 min
416,95 min
417,95 min
418,90 min
419,86 min
420,110 min
421,111 min
422,87 min
423,118 min
424,73 min
425,105 min
426,139 min
427,90 min
428,113 min
429,95 min
430,105 min
431,84 min
432,85 min
433,180 min
434,110 min
435,106 min
436,70 min
437,81 min
438,140 min
439,125 min
440,91 min
441,80 min
442,49 min
443,105 min
444,70 min
445,81 min
446,111 min
447,91 min
448,86 min
449,90 min
450,90 min
451,94 min
452,60 min
453,83 min
454,93 min
455,90 min
456,110 min
457,94 min
458,87 min
459,100 min
460,62 min
461,102 min
462,114 min
463,80 min
464,104 min
465,94 min
466,60 min
467,60 min
468,87 min
469,93 min
470,89 min
471,99 min
472,93 min
473,90 min
474,97 min
475,99 min
476,105 min
477,86 min
478,87 min
479,100 min
480,98 min
