,year
0,(2001)
1,(2001)
2,(2001)
3,(2001)
4,(2001)
5,(2001)
6,(2001)
7,(2001)
8,(2001)
9,(2001)
10,(2001)
11,(2001)
12,(I) (2001)
13,(II) (2001)
14,(2001)
15,(2001)
16,(2001)
17,(2001)
18,(2001)
19,(2001)
20,(2001)
21,(2001)
22,(2001)
23,(2001)
24,(2001)
25,(2001)
26,(2001)
27,(2001)
28,(2001)
29,(2001)
30,(2001)
31,(2001)
32,(2001)
33,(2001)
34,(2001)
35,(2001)
36,(2001)
37,(2001)
38,(2001)
39,(2001)
40,(2001)
41,(2001)
42,(2001)
43,(2001)
44,(2001)
45,(2001)
46,(2001)
47,(2001)
48,(2001)
49,(2001)
50,(2001)
51,(2001)
52,(2001)
53,(2001)
54,(2001)
55,(2001)
56,(2001)
57,(2001)
58,(2001)
59,(2001)
60,(2001)
61,(2001)
62,(2001)
63,(2001)
64,(2001)
65,(2001)
66,(2001)
67,(2001)
68,(2001)
69,(2001)
70,(2001)
71,(2001)
72,(2001)
73,(2001)
74,(2001)
75,(2001)
76,(2001)
77,(2001)
78,(2001)
79,(2001)
80,(2001)
81,(2001)
82,(2001)
83,(2001)
84,(2001)
85,(2001)
86,(2001)
87,(2001)
88,(2001)
89,(2001)
90,(2001)
91,(2001)
92,(2001)
93,(2001)
94,(2001)
95,(2001)
96,(2001)
97,(2001)
98,(2001)
99,(2001)
100,(2001)
101,(2001)
102,(2001)
103,(2001)
104,(2001)
105,(2001)
106,(2001)
107,(2001)
108,(2001)
109,(2001)
110,(2001)
111,(2001)
112,(2001)
113,(2001)
114,(2001)
115,(2001)
116,(2001)
117,(2001)
118,(2001)
119,(2001)
120,(2001)
121,(2001)
122,(2001)
123,(2001)
124,(2001)
125,(2001)
126,(2001)
127,(2001)
128,(2001)
129,(2001)
130,(2001)
131,(2001)
132,(2001)
133,(2001)
134,(2001)
135,(2001)
136,(2001)
137,(2001)
138,(2001)
139,(2001)
140,(2001)
141,(2001)
142,(2001)
143,(2001)
144,(2001)
145,(2001)
146,(2001)
147,(2001)
148,(2001)
149,(2001)
150,(2001)
151,(2001)
152,(2001)
153,(2001)
154,(2001)
155,(2001)
156,(2001)
157,(2001)
158,(2001)
159,(2001)
160,(2001)
161,(2001)
162,(2001)
163,(2001)
164,(2001)
165,(I) (2001)
166,(2001)
167,(2001)
168,(2001)
169,(2001)
170,(2001)
171,(2001)
172,(2001)
173,(2001)
174,(2001)
175,(2001)
176,(2001)
177,(2001)
178,(2001)
179,(2001)
180,(2001)
181,(2001)
